Ohnolog1	Ohnolog2
SERPINI1	SERPINH1
SERPINE1	SERPINE3
SERPINE1	SERPINH1
B3GALT2	B3GNT7
B3GNT7	B3GNT5
B3GNT7	B3GALNT1
B3GNT7	B3GALT9
B3GNT7	B3GALT5
B3GALT9	B3GNT3
B3GALT5	B3GALT1
RNPEP	RNPEPL1
SMYD2	SMYD1
SMYD1	SMYD3
ACTA1	ACTG2
ACTA1	ACTA2
ACTA1	ACTC1
ACTG2	ACTA2
ACTG2	ACTC1
ACTA2	ACTC1
SAMD11	SAMD7
HES4	HES1
HES1	HES2
ACAP3	ACAP2
ACAP3	ACAP1
ACAP2	ACAP1
DVL1	DVL3
DVL1	DVL2
DVL1	DIXDC1
DVL3	DVL2
DVL3	DIXDC1
DVL2	DIXDC1
CCNL2	MCM2
GNB1	GNB4
GNB1	GNB2
GNB1	GNB3
GNB4	GNB2
GNB4	GNB3
PRKCZ	PRKCI
SKI	SKIL
PLCH2	PLCH1
PRDM16	MECOM
TPRG1L	TPRG1
TP73	TP63
TP73	TP53
TP63	TP53
KCNAB2	KCNAB1
KCNAB2	KCNAB3
KCNAB1	KCNAB3
RPL22	RPL22L1
SPSB1	SPSB4
SPSB1	SPSB2
SPSB4	SPSB2
SLC25A33	SLC25A36
PIK3CD	PIK3CA
PIK3CD	PIK3CB
PIK3CD	PIK3CG
PIK3CA	PIK3CB
PIK3CA	PIK3CG
PIK3CB	PIK3CG
CLSTN1	CLSTN2
CLSTN1	CLSTN3
CLSTN2	CLSTN3
NMNAT1	NMNAT3
RBP7	RBP2
RBP7	RBP1
RBP7	RBP5
RBP7	FABP4
RBP7	FABP9
RBP7	FABP12
RBP7	FABP7
RBP7	CRABP2
RBP7	PMP2
RBP7	CRABP1
RBP7	FABP5
RBP2	RBP5
RBP2	FABP7
RBP2	FABP5
RBP2	FABP4
RBP2	FABP9
RBP2	CRABP2
RBP2	FABP3
RBP2	PMP2
RBP1	RBP5
RBP1	CRABP2
RBP1	FABP5
RBP1	CRABP1
RBP5	FABP4
RBP5	FABP9
RBP5	FABP12
RBP5	FABP7
RBP5	CRABP2
RBP5	PMP2
RBP5	FABP5
MASP2	MASP1
MASP2	C1R
MASP2	C1S
MASP2	C1RL
MASP1	C1R
MASP1	C1S
MASP1	C1RL
C1S	HP
C1S	HPR
PLOD1	PLOD2
PLOD1	PLOD3
PLOD2	PLOD3
MFN2	MFN1
AADACL4	NCEH1
AADACL4	AADACL2
AADACL4	AADAC
NCEH1	AADACL3
NCEH1	AADAC
NCEH1	AADACL2
AADACL2	AADACL3
AADAC	AADACL3
CLCNKA	CLCN2
CLCNKA	CLCN1
CLCN2	CLCNKB
CLCN2	CLCN1
CLCN1	CLCNKB
ATP13A2	ATP13A4
ATP13A2	ATP13A5
ATP13A2	ATP13A3
FAM43B	FAM43A
EIF4G3	EIF4G1
WNT7A	WNT3
HTR1D	HTR1F
HTR1D	HTR1B
HTR1D	HTR1E
HTR1D	HTR5A
HTR1D	ADRA1D
HTR1D	HTR1A
HTR1F	HTR1A
HTR1F	HTR1B
HTR1F	HTR1E
HTR1B	HTR1A
HTR1B	ADRA1B
HTR1B	HTR7
HTR1E	DRD3
HTR1E	HTR1A
HTR5A	HTR7
ADRA1D	HTR4
ADRA1D	ADRB2
ADRA1D	ADRA1B
ADRA1D	DRD1
ADRA1D	HRH2
ADRA1D	ADRA1A
ADRA1D	HTR7
HTR1A	ADRA1B
TMEM39B	TMEM39A
KPNA6	KPNA1
KPNA6	KPNA5
KPNA6	KPNA7
KPNA1	KPNA5
KPNA1	KPNA7
KPNA5	KPNA7
KPNA5	KPNA2
KPNA7	KPNA2
PHC2	PHC3
PHC2	PHC1
PHC3	PHC1P1
PHC3	PHC1
ZFP69	ZNF502
ZFP69	ZNF251
ZFP69	ZNF596
ZFP69	ZNF16
ZFP69	ZNF485
ZFP69	ZNF519
ZFP69	ZNF493
ZFP69	ZNF708
ZFP69	AC092634.1
ZFP69	ZNF829
ZFP69	ZNF546
ZFP69	ZNF155
ZFP69	ZNF676
ZFP69	ZNF554
ZFP69	ZNF849P
ZFP69	ZNF724
ZFP69	ZNF566
ZFP69	ZNF675
ZFP69	ZNF461
ZFP69	ZNF383
ZFP69	ZNF780B
ZNF502	ZNF778
ZNF502	ZFP90
ZNF502	ZNF774
ZNF251	ZNF239
ZNF251	ZNF485
ZNF251	BX322639.1
ZNF251	ZFP90
ZNF251	ZNF461
ZNF251	ZNF566
ZNF251	ZNF724
ZNF251	ZNF708
ZNF251	ZNF675
ZNF251	ZNF383
ZNF251	ZNF493
ZNF251	ZNF546
ZNF251	ZNF256
ZNF251	ZNF676
ZNF251	ZNF829
ZNF251	ZNF780B
ZNF251	ZNF849P
ZNF16	ZNF425
ZNF16	ZNF239
ZNF16	ZNF485
ZNF16	BX322639.1
ZNF16	ZNF267
ZNF16	ZFP90
ZNF16	ZNF778
ZNF16	ZNF23
ZNF16	ZNF594
ZNF16	ZNF606
ZNF16	ZNF418
ZNF16	ZNF566
ZNF16	ZNF675
ZNF16	ZNF544
ZNF16	ZNF383
ZNF16	ZNF135
ZNF16	ZNF724
ZNF16	ZNF676
ZNF16	ZNF461
ZNF16	ZNF471
ZNF16	ZNF546
ZNF16	ZNF829
ZNF16	ZNF132
ZNF16	ZNF708
ZNF16	ZNF470
ZNF16	ZNF493
ZNF16	ZNF17
ZNF16	ZNF780B
ZNF16	ZNF849P
ZNF16	ZNF133
ZNF16	ZNF343
ZNF485	ZNF141
ZNF485	ZNF721
ZNF485	ZNF479
ZNF485	ZNF716
ZNF485	ZNF727
ZNF485	ZNF679
ZNF485	ZNF107
ZNF485	ZNF117
ZNF485	ZNF92
ZNF519	ZNF479
ZNF519	ZNF716
ZNF519	ZNF727
ZNF519	ZNF679
ZNF519	ZNF107
ZNF519	ZNF117
ZNF519	ZNF92
ZNF519	ZFP90
ZNF519	ZNF676
ZNF519	ZNF383
ZNF519	ZNF829
ZNF519	ZNF724
ZNF519	ZNF675
ZNF519	ZNF849P
ZNF519	ZNF554
ZNF519	ZNF566
ZNF519	ZNF493
ZNF519	ZNF546
ZNF519	ZNF461
ZNF519	ZNF780B
ZNF519	ZNF708
ZNF493	ZNF425
ZNF493	ZNF658B
ZNF493	ZFP90
ZNF493	ZNF23
ZNF493	ZNF778
ZNF493	ZNF554
ZNF493	ZNF699
ZNF493	ZNF443
ZNF493	ZNF791
ZNF493	ZNF841
ZNF493	ZNF418
ZNF493	ZNF347
ZNF493	AC008758.1
ZNF493	ZNF433
ZNF493	ZNF470
ZNF493	ZNF616
ZNF493	ZNF544
ZNF493	ZNF615
ZNF493	ZNF121
ZNF493	ZNF665
ZNF493	ZNF700
ZNF493	ZNF175
ZNF493	ZNF836
ZNF493	ZNF528
ZNF493	ZNF701
ZNF493	ZNF83
ZNF493	ZNF160
ZNF493	ZNF582
ZNF493	ZNF471
ZNF493	ZNF17
ZNF493	ZNF211
ZNF493	ZNF606
ZNF493	ZNF135
ZNF493	ZNF132
ZNF708	ZFP90
ZNF708	ZNF778
ZNF708	ZNF554
ZNF708	ZNF471
ZNF708	ZNF347
ZNF708	ZNF121
ZNF708	ZNF528
ZNF708	ZNF701
ZNF708	ZNF83
ZNF708	ZNF582
ZNF708	ZNF211
AC092634.1	ZNF12
AC092634.1	ZNF23
AC092634.1	ZNF791
AC092634.1	ZNF418
AC092634.1	AC008758.1
AC092634.1	ZNF699
AC092634.1	ZNF471
AC092634.1	ZNF443
AC092634.1	ZNF433
AC092634.1	ZNF17
AC092634.1	ZNF544
AC092634.1	ZNF135
AC092634.1	ZNF700
AC092634.1	ZNF470
AC092634.1	ZNF606
AC092634.1	ZNF132
ZNF829	ZFP90
ZNF829	ZNF778
ZNF829	ZNF471
ZNF829	ZNF347
ZNF829	ZNF528
ZNF829	ZNF701
ZNF829	ZNF83
ZNF829	ZNF582
ZNF829	ZNF211
ZNF546	ZNF12
ZNF546	ZNF425
ZNF546	ZFP90
ZNF546	ZNF23
ZNF546	ZNF778
ZNF546	ZNF287
ZNF546	ZNF624
ZNF546	ZNF836
ZNF546	ZNF616
ZNF546	ZNF665
ZNF546	ZNF471
ZNF546	ZNF418
ZNF546	ZNF347
ZNF546	ZNF544
ZNF546	ZNF470
ZNF546	ZNF615
ZNF546	ZNF841
ZNF546	ZNF175
ZNF546	ZNF528
ZNF546	ZNF701
ZNF546	ZNF160
ZNF546	ZNF582
ZNF546	ZNF17
ZNF546	ZNF211
ZNF546	ZNF606
ZNF546	ZNF135
ZNF546	ZNF132
ZNF546	ZNF337
ZNF546	ZNF133
ZNF546	ZNF343
ZNF676	ZFP90
ZNF676	ZNF778
ZNF676	ZNF554
ZNF676	ZNF121
ZNF676	ZNF347
ZNF676	ZNF471
ZNF676	ZNF528
ZNF676	ZNF701
ZNF676	ZNF83
ZNF676	ZNF582
ZNF676	ZNF211
ZNF676	ZNF256
ZNF554	ZNF849P
ZNF554	ZNF724
ZNF554	ZNF675
ZNF849P	ZFP90
ZNF849P	ZNF701
ZNF849P	ZNF83
ZNF849P	ZNF347
ZNF849P	ZNF582
ZNF849P	ZNF471
ZNF849P	ZNF211
ZNF724	ZFP90
ZNF724	ZNF778
ZNF724	ZNF121
ZNF724	ZNF347
ZNF724	ZNF471
ZNF724	ZNF528
ZNF724	ZNF701
ZNF724	ZNF83
ZNF724	ZNF582
ZNF724	ZNF211
ZNF566	ZFP90
ZNF566	ZNF347
ZNF566	ZNF471
ZNF566	ZNF528
ZNF566	ZNF701
ZNF566	ZNF83
ZNF566	ZNF582
ZNF566	ZNF211
ZNF675	ZFP90
ZNF675	ZNF347
ZNF675	ZNF121
ZNF675	ZNF528
ZNF675	ZNF701
ZNF675	ZNF83
ZNF675	ZNF582
ZNF675	ZNF471
ZNF675	ZNF211
ZNF461	ZFP90
ZNF461	ZNF778
ZNF461	ZNF347
ZNF461	ZNF701
ZNF461	ZNF582
ZNF461	ZNF471
ZNF461	ZNF211
ZNF383	ZFP90
ZNF383	ZNF778
ZNF383	ZNF347
ZNF383	ZNF471
ZNF383	ZNF528
ZNF383	ZNF701
ZNF383	ZNF83
ZNF383	ZNF582
ZNF383	ZNF211
ZNF780B	ZNF12
ZNF780B	ZNF425
ZNF780B	ZFP90
ZNF780B	ZNF23
ZNF780B	ZNF778
ZNF780B	ZNF287
ZNF780B	ZNF624
ZNF780B	ZNF841
ZNF780B	ZNF418
ZNF780B	ZNF665
ZNF780B	ZNF160
ZNF780B	ZNF17
ZNF780B	ZNF470
ZNF780B	ZNF836
ZNF780B	ZNF528
ZNF780B	ZNF132
ZNF780B	ZNF701
ZNF780B	ZNF616
ZNF780B	ZNF615
ZNF780B	ZNF544
ZNF780B	ZNF471
ZNF780B	ZNF135
ZNF780B	ZNF347
ZNF780B	ZNF606
ZNF780B	ZNF175
ZNF780B	ZNF582
ZNF780B	ZNF211
ZNF780B	ZNF343
ZNF780B	ZNF133
ZNF780B	ZNF337
ZNF778	ZNF197
ZNF778	ZNF658B
ZNF778	ZNF23
ZNF778	ZNF267
ZNF778	ZFP90
ZNF778	ZNF85
ZNF778	ZNF569
ZNF778	ZNF91
ZNF778	ZNF573
ZNF778	ZNF429
ZNF778	ZNF30
ZNF778	ZNF585A
ZNF778	ZNF571
ZNF778	ZNF875
ZNF778	ZNF420
ZNF778	ZNF726
ZNF778	ZNF607
ZNF778	ZNF780A
ZNF778	ZNF540
ZNF778	ZNF43
ZNF778	ZNF254
ZNF778	ZNF568
ZNF778	ZNF208
ZNF778	ZNF599
ZNF778	ZNF567
ZNF778	ZNF506
ZNF778	ZNF729
ZNF778	ZNF343
ZNF778	ZNF133
ZNF778	ZNF337
ZFP90	ZSCAN12
ZFP90	ZNF479
ZFP90	ZNF716
ZFP90	ZNF727
ZFP90	ZNF107
ZFP90	ZNF117
ZFP90	ZNF92
ZFP90	ZNF70
CLDN19	CLDN18
CLDN19	CLDN1
CLDN19	CLDN15
CLDN19	CLDN7
CLDN19	CLDN14
CLDN19	CLDN8
CLDN18	CLDN1
CLDN18	CLDN10
CLDN18	CLDN6
CLDN18	CLDN9
CLDN18	CLDN7
CLDN18	CLDN15
CLDN18	CLDN25
CLDN18	CLDN24
CLDN18	CLDN22
CLDN1	CLDN15
CLDN1	CLDN10
CLDN1	CLDN6
CLDN1	CLDN9
CLDN1	CLDN8
CLDN15	CLDN3
CLDN15	CLDN4
CLDN15	CLDN2
CLDN15	CLDN25
CLDN15	CLDN24
CLDN15	CLDN10
CLDN15	CLDN22
CLDN7	CLDN10
CLDN7	CLDN9
CLDN7	CLDN6
CLDN7	CLDN5
CLDN14	CLDN20
CLDN8	CLDN2
CLDN10	CLDN25
CLDN10	CLDN24
CLDN10	CLDN22
CLDN6	CLDN20
CLDN6	CLDN5
CLDN9	CLDN20
CLDN9	CLDN5
P3H1	CRTAP
P3H1	P3H2
P3H1	P3H3
CRTAP	P3H4
P3H2	P3H3
SLC2A1	SLC2A2
SLC2A1	SLC2A4
SLC2A1	SLC2A14
SLC2A1	SLC2A3
SLC2A2	SLC2A4
SLC2A2	SLC2A14
SLC2A2	SLC2A3
SLC2A4	SLC2A14
SLC2A4	SLC2A3
ST3GAL3	ST3GAL6
ST3GAL3	ST3GAL5
B4GALT2	B4GALT4
B4GALT2	B4GALT1
B4GALT2	B4GALT5
B4GALT2	B4GALT3
B4GALT4	B4GALT3
B4GALT4	B4GALT1
B4GALT1	B4GALT3
B4GALT5	B4GALT6
OSBPL9	OSBPL11
OSBPL11	OSBPL10
CELSR2	CELSR3
CELSR2	CELSR1
CELSR3	CELSR1
SYPL2	SYNPR
SYPL2	SYPL1
SYPL2	SYP
SYNPR	SYPL1
SYNPR	SYP
SYPL1	SYP
ATXN7L2	ATXN7
ATXN7L2	ATXN7L1
ATXN7	ATXN7L1
CYB561D1	CYB561D2
GNAI3	GNAI2
GNAI3	GNAI1
GNAI2	GNAI1
GNAI2	GNAT2
GNAI1	GNAT1
GNAT2	GNAT1
GNAT1	GNAT3
RAP1A	RAP1BP2
RAP1A	AC113404.1
RAP1A	RAP1B
RAP1BP2	RAP1B
LRIG2	LRIG1
LRIG2	LRIG3
LRIG1	LRIG3
MAGI3	MAGI1
MAGI3	MAGI2
MAGI1	MAGI2
LINGO4	LRRN1
LINGO4	LINGO2
LINGO4	LINGO1
LINGO4	LINGO3
LRRN1	LRRN2
LRRN1	LRRN3
LINGO2	LINGO1
LINGO2	LINGO3
LINGO1	LRRTM2
LINGO1	LINGO3
LINGO3	LRRN2
LRRN2	LRRN3
NUP210L	NUP210
NECTIN4	NECTIN3
NECTIN4	NECTIN1
NECTIN4	PVR
NECTIN4	NECTIN2
NECTIN3	NECTIN1
NECTIN3	PVR
NECTIN3	NECTIN2
NECTIN1	PVR
NECTIN1	NECTIN2
PVR	CADM3
PVR	CADM2
NECTIN2	CADM3
NECTIN2	CADM2
NR1I3	NR1I2
NR1I2	VDR
GPA33	IGSF11
GPA33	VSIG2
GPA33	CLMP
GPA33	CXADR
GPA33	VSIG1
IGSF11	VSIG2
IGSF11	CLMP
ATP1B1	ATP1B3
ATP1B1	ATP1B4
ATP1B1	ATP1B2
ATP1B3	ATP4B
ATP1B3	ATP1B2
ATP1B3	ATP1B4
ATP1B4	ATP4B
ATP1B4	ATP1B2
ATP4B	ATP1B2
PRRX1	SHOX2
PRRX1	PRRX2
SHOX2	SHOX
ZNF281	ZNF148
CACNA1S	CACNA1D
CACNA1S	CACNA1C
CACNA1S	CACNA1F
CACNA1D	CACNA1C
CACNA1D	CACNA1F
CACNA1C	CACNA1F
LMOD1	LMOD3
LMOD1	TMOD3
LMOD1	LMOD2
LMOD1	TMOD4
LMOD1	TMOD2
LMOD1	TMOD1
LMOD3	TMOD3
LMOD3	TMOD1
LMOD3	LMOD2
LMOD3	TMOD2
LMOD3	TMOD4
ARL8A	ARL8B
ATP2B4	ATP2B4
ATP2B4	ATP2B1
ATP2B4	ATP2B3
ATP2B1	ATP2B3
NFASC	CHL1
NFASC	NRCAM
NFASC	L1CAM
CHL1	NRCAM
CHL1	L1CAM
NRCAM	L1CAM
CNTN2	CNTN4
CNTN2	CNTN6
CNTN2	CNTN3
CNTN2	CNTN5
CNTN2	CNTN1
CNTN4	CNTN3
CNTN4	CNTN5
CNTN4	CNTN1
CNTN4	SDK2
CNTN6	CNTN3
CNTN6	CNTN5
CNTN6	CNTN1
CNTN3	CNTN5
CNTN3	CNTN1
CNTN1	SDK1
CNTN1	SDK2
SDK2	SDK1
TMCC2	TMCC1
TMCC2	TMCC3
TMCC1	TMCC3
KLHDC8A	KLHDC8B
SLC41A1	SLC41A3
SLC41A1	SLC41A2
SLC41A3	SLC41A2
AVPR1B	OXTR
AVPR1B	AVPR1A
AVPR1B	AVPR2
OXTR	AVPR1A
OXTR	AVPR2
AVPR1A	AVPR2
MAPKAPK2	MAPKAPK3
PFKFB2	PFKFB4
PFKFB2	PFKFB3
PFKFB2	PFKFB1
PFKFB4	PFKFB3
PFKFB4	PFKFB1
PFKFB3	PFKFB1
PLXNA2	PLXND1
PLXNA2	PLXNB1
PLXNA2	PLXNA1
PLXNA2	PLXNA4
PLXNA2	PLXNB2
PLXNA2	PLXNB3
PLXNA2	PLXNA3
PLXND1	PLXNB1
PLXND1	PLXNA4
PLXND1	PLXNA3
PLXND1	PLXNB3
PLXND1	PLXNC1
PLXND1	PLXNB2
PLXNB1	PLXNA1
PLXNB1	PLXNA4
PLXNB1	PLXNB2
PLXNB1	PLXNA3
PLXNB1	PLXNB3
PLXNB1	PLXNC1
PLXNA1	PLXNA4
PLXNA1	PLXNB3
PLXNA1	PLXNA3
PLXNA4	PLXNB3
PLXNA4	PLXNA3
PLXNB2	PLXNC1
PLXNB2	PLXNB3
PLXNB3	PLXNC1
CAMK1G	CAMK1
CAMK1G	CAMK1D
CAMK1G	PNCK
CAMK1	PNCK
CAMK1	CAMK1D
CAMK1D	PNCK
HHAT	HHATL
CENPF	GOLGB1
CENPF	EEA1
GOLGB1	GOLGA4
GOLGB1	EEA1
