PROTEIN CODING GENES:	8122 (100.00)
ZNF519	ZNF675
ZNF519	ZNF849P
ZNF519	ZNF554
ZNF519	ZNF566
ZNF493	ZNF425
ZNF493	ZNF658B
ZNF493	ZFP90
ZNF493	ZNF778
ZNF493	ZNF554
ZNF493	ZNF443
ZNF493	ZNF791
ZNF493	ZNF418
ZNF493	ZNF347
ZNF493	AC008758.1
ZNF493	ZNF433
ZNF493	ZNF665
ZNF493	ZNF700
ZNF493	ZNF701
ZNF493	ZNF160
ZNF493	ZNF582
ZNF493	ZNF17
ZNF493	ZNF211
ZNF708	ZFP90
ZNF708	ZNF778
ZNF708	ZNF554
ZNF708	ZNF347
ZNF708	ZNF701
ZNF708	ZNF582
ZNF708	ZNF211
AC092634.1	ZNF12
AC092634.1	ZNF23
AC092634.1	ZNF791
AC092634.1	ZNF418
AC092634.1	AC008758.1
AC092634.1	ZNF699
AC092634.1	ZNF471
AC092634.1	ZNF443
AC092634.1	ZNF433
AC092634.1	ZNF17
AC092634.1	ZNF544
AC092634.1	ZNF135
AC092634.1	ZNF700
AC092634.1	ZNF470
AC092634.1	ZNF606
AC092634.1	ZNF132
ZNF829	ZFP90
ZNF829	ZNF778
ZNF829	ZNF347
ZNF829	ZNF701
ZNF829	ZNF582
ZNF829	ZNF211
ZNF546	ZNF425
ZNF546	ZFP90
ZNF546	ZNF778
ZNF546	ZNF287
ZNF546	ZNF665
ZNF546	ZNF418
ZNF546	ZNF347
ZNF546	ZNF701
ZNF546	ZNF160
ZNF546	ZNF582
ZNF546	ZNF17
ZNF546	ZNF211
ZNF546	ZNF337
ZNF546	ZNF133
ZNF546	ZNF343
ZNF676	ZFP90
ZNF676	ZNF778
ZNF676	ZNF554
ZNF676	ZNF347
ZNF676	ZNF701
ZNF676	ZNF582
ZNF676	ZNF211
ZNF676	ZNF256
ZNF554	ZNF849P
ZNF554	ZNF724
ZNF554	ZNF675
ZNF849P	ZFP90
ZNF849P	ZNF701
ZNF849P	ZNF83
ZNF849P	ZNF347
ZNF849P	ZNF582
ZNF849P	ZNF471
ZNF849P	ZNF211
ZNF724	ZFP90
ZNF724	ZNF778
ZNF724	ZNF347
ZNF724	ZNF701
ZNF724	ZNF582
ZNF724	ZNF211
ZNF566	ZNF347
ZNF566	ZNF471
ZNF566	ZNF528
ZNF566	ZNF701
ZNF566	ZNF83
ZNF566	ZNF211
ZNF675	ZFP90
ZNF675	ZNF347
ZNF675	ZNF121
ZNF675	ZNF528
ZNF675	ZNF701
ZNF675	ZNF83
ZNF675	ZNF582
ZNF675	ZNF471
ZNF675	ZNF211
ZNF461	ZFP90
ZNF461	ZNF778
ZNF461	ZNF347
ZNF461	ZNF701
ZNF461	ZNF582
ZNF461	ZNF211
ZNF383	ZFP90
ZNF383	ZNF778
ZNF383	ZNF347
ZNF383	ZNF701
ZNF383	ZNF582
ZNF383	ZNF211
ZNF780B	ZNF425
ZNF780B	ZFP90
ZNF780B	ZNF778
ZNF780B	ZNF287
ZNF780B	ZNF418
ZNF780B	ZNF665
ZNF780B	ZNF160
ZNF780B	ZNF17
ZNF780B	ZNF701
ZNF780B	ZNF347
ZNF780B	ZNF582
ZNF780B	ZNF211
ZNF780B	ZNF343
ZNF780B	ZNF133
ZNF780B	ZNF337
ZNF778	ZNF197
ZNF778	ZNF658B
ZNF778	ZNF23
ZNF778	ZNF267
ZNF778	ZNF85
ZNF778	ZNF569
ZNF778	ZNF91
ZNF778	ZNF573
ZNF778	ZNF429
ZNF778	ZNF30
ZNF778	ZNF585A
ZNF778	ZNF571
ZNF778	ZNF420
ZNF778	ZNF726
ZNF778	ZNF607
ZNF778	ZNF780A
ZNF778	ZNF540
ZNF778	ZNF43
ZNF778	ZNF254
ZNF778	ZNF568
ZNF778	ZNF208
ZNF778	ZNF567
ZNF778	ZNF506
ZNF778	ZNF729
ZFP90	ZSCAN12
ZFP90	ZNF479
ZFP90	ZNF716
ZFP90	ZNF727
ZFP90	ZNF107
ZFP90	ZNF117
ZFP90	ZNF92
P3H1	CRTAP
RAP1A	RAP1BP2
RAP1A	AC113404.1
RAP1BP2	RAP1B
LINGO4	LRRN1
LINGO4	LINGO2
LINGO4	LINGO1
LINGO2	LINGO3
LINGO1	LRRTM2
LINGO1	LINGO3
LINGO3	LRRN2
ATP2B4	ATP2B4
CENPF	GOLGB1
CENPF	EEA1
GOLGB1	GOLGA4
GOLGB1	EEA1
EEA1	GOLGA4
ACOT7	AC098591.1
SLC2A7	AP000350.10
SLC2A5	AP000350.10
NPFFR2	NPY2R
HCRTR2	GPR83
NPY2R	NPFFR1
NPY2R	BRS3
NENF	PGRMC2
NENF	CYB5D2
PIK3R3	AC007192.4
PIK3R1	AC007192.4
ZFYVE9	ZFYVE16
POLR3GL	POLR3G
EFNA5	RP11-540D14.8
TRIM46	FSD1L
TRIM46	FSD2
TRIM46	FSD1
TRIM36	FSD2
TRIM36	FSD1
TRIM36	TRIM59
TRIM36	RP11-432B6.3
TRIM55	TRIM59
TRIM55	RP11-432B6.3
FSD1L	MID1
FSD2	MID2
MID1	TRIM59
MID1	RP11-432B6.3
RXFP4	RXFP3
PEAR1	MEGF10
PEAR1	MEGF11
SLC26A2	SLC26A10
SLC26A5	SLC26A10
SLC26A3	SLC26A10
ADRA1B	DRD5
ADRA1B	HTR7
HTR7	HTR4
HTR7	ADRA1A
DRD3	DRD2
HNRNPR	RBM47
SYNCRIP	DND1
WASF1	WASF4P
WASF3	WASF4P
OPRD1	MCHR1
NPBWR1	MCHR2
SSTR4	MCHR2
MCHR1	SSTR5
MCHR1	SSTR2
SSTR1	MCHR2
GPR83	BRS3
COL8A2	COL21A1
COL8A2	COL9A1
COL8A2	COL9A3
COL21A1	COL8A1
COL9A3	COL10A1
COL22A1	COL19A1
H2AX	H3C4
PBX1	PBX2P1
PBX2P1	PBX3
PBX2P1	PBX4
REN	RP11-295K3.1
CTTNBP2NL	CTTNBP2
CTTNBP2	FILIP1L
TRIM33	AIRE
LYPLA2	LYPLA2P1
MCHR2	SSTR2
ZNF239	ZNF92
ZNF239	ZNF479
ZNF239	ZNF721
ZNF239	ZNF107
BX322639.1	ZNF141
BX322639.1	ZNF92
BX322639.1	ZNF727
BX322639.1	ZNF479
BX322639.1	ZNF716
BX322639.1	ZNF679
BX322639.1	ZNF721
BX322639.1	ZNF107
BX322639.1	ZNF117
ZNF256	ZNF146
ZNF256	ZNF157
ZNF256	ZNF92
ZNF256	ZNF311
ZNF256	ZNF3
ZNF256	ZNF786
ZNF256	ZNF623
ZNF256	ZNF250
ZNF256	ZNF629
ZNF256	ZFP3
ZNF256	ZNF286A
ZNF256	ZFP14
ZNF256	ZNF112
ZNF256	ZNF473
ZNF256	ZNF283
ZNF256	ZNF840P
ZNF425	ZNF23
ZNF425	ZNF624
ZNF425	ZNF41
ZNF425	ZNF594
ZNF425	ZNF17
ZNF425	ZNF132
ZNF425	ZNF418
ZNF425	ZNF470
ZNF425	ZNF135
ZNF425	ZNF658B
ZNF425	ZNF84
ZNF425	ZNF605
ZNF425	ZNF347
ZNF425	ZNF221
ZNF425	ZNF571
ZNF425	ZNF585A
ZNF425	ZNF607
ZNF425	ZNF540
ZNF425	ZNF85
ZNF425	ZNF568
ZNF425	ZNF528
ZNF425	ZNF665
ZNF425	ZNF780A
ZNF425	ZNF569
ZNF425	ZNF420
ZNF425	ZNF836
ZNF425	ZNF160
ZNF425	ZNF573
ZNF425	ZNF91
ZNF425	ZNF43
ZNF425	ZNF729
ZNF425	ZNF45
ZNF425	ZNF616
ZNF425	ZNF841
ZNF425	ZNF226
ZNF425	ZNF235
ZNF425	ZNF429
ZNF425	ZNF14
ZNF425	ZNF726
ZNF425	ZNF30
ZNF425	ZNF227
ZNF425	ZNF208
ZNF425	ZNF615
ZNF425	ZNF506
ZNF267	PRDM9
ZNF267	ZNF287
ZNF267	ZNF721
ZNF267	ZNF169
ZNF267	ZNF84
ZNF267	ZNF17
ZNF267	ZNF418
ZNF23	PRDM9
ZNF23	ZNF184
ZNF23	ZNF658B
ZNF23	ZNF569
ZNF23	ZNF208
ZNF23	ZNF729
ZNF23	ZNF875
ZNF23	ZNF420
ZNF23	ZNF567
ZNF23	ZNF91
ZNF23	ZNF14
ZNF23	ZNF599
ZNF23	ZNF133
ZNF23	ZNF343
ZNF23	ZNF337
ZNF594	PRDM9
ZNF594	ZNF287
ZNF594	ZNF624
ZNF594	ZNF33A
ZNF594	ZNF605
ZNF594	ZNF544
ZNF594	ZNF471
ZNF594	ZNF17
ZNF594	ZNF135
ZNF594	ZNF470
ZNF594	ZNF132
ZNF594	ZNF418
ZNF594	ZNF606
ZNF606	ZNF184
ZNF606	ZNF287
ZNF606	ZNF107
ZNF606	ZNF14
ZNF606	ZNF208
ZNF606	ZNF599
ZNF606	ZNF569
ZNF606	ZNF347
ZNF606	ZNF665
ZNF606	ZNF420
ZNF606	ZNF729
ZNF606	ZNF875
ZNF606	ZNF160
ZNF606	ZNF91
ZNF606	ZNF567
ZNF418	ZNF184
ZNF418	ZNF12
ZNF418	ZNF287
ZNF418	ZNF624
ZNF418	ZNF630
ZNF418	ZNF41
ZNF418	ZNF182
ZNF418	ZNF107
ZNF418	ZNF14
ZNF418	ZNF506
ZNF418	ZNF85
ZNF418	ZNF208
ZNF418	ZNF729
ZNF418	ZNF91
ZNF418	ZNF599
ZNF418	ZNF30
ZNF418	ZNF567
ZNF418	ZNF875
ZNF418	ZNF569
ZNF418	ZNF571
ZNF418	ZNF540
ZNF418	ZNF573
ZNF418	ZNF45
ZNF418	ZNF221
ZNF418	ZNF226
ZNF418	ZNF227
ZNF418	ZNF235
ZNF418	ZNF175
ZNF418	ZNF836
ZNF418	ZNF528
ZNF418	ZNF160
ZNF418	ZNF607
ZNF418	ZNF726
ZNF418	ZNF429
ZNF418	ZNF585A
ZNF418	ZNF780A
ZNF418	ZNF43
ZNF418	ZNF347
ZNF418	ZNF615
ZNF418	ZNF568
ZNF418	ZNF665
ZNF418	ZNF616
ZNF418	ZNF254
ZNF418	ZNF841
ZNF418	ZNF420
ZNF544	ZNF184
ZNF544	ZNF287
ZNF544	ZNF107
ZNF544	ZNF14
ZNF544	ZNF208
ZNF544	ZNF729
ZNF544	ZNF91
ZNF544	ZNF599
ZNF544	ZNF567
ZNF544	ZNF420
ZNF544	ZNF875
ZNF544	ZNF569
ZNF544	ZNF160
ZNF544	ZNF347
ZNF544	ZNF665
ZNF135	ZNF184
ZNF135	ZNF287
ZNF135	ZNF107
ZNF135	ZNF14
ZNF135	ZNF208
ZNF135	ZNF91
ZNF135	ZNF599
ZNF135	ZNF160
ZNF135	ZNF347
ZNF135	ZNF569
ZNF135	ZNF875
ZNF135	ZNF420
ZNF135	ZNF729
ZNF135	ZNF665
ZNF135	ZNF567
ZNF471	ZNF184
ZNF471	ZNF287
ZNF471	ZNF107
ZNF471	ZNF14
ZNF471	ZNF208
ZNF471	ZNF91
ZNF471	ZNF599
ZNF471	ZNF567
ZNF471	ZNF875
ZNF471	ZNF160
ZNF471	ZNF347
ZNF471	ZNF729
ZNF471	ZNF420
ZNF471	ZNF665
ZNF471	ZNF569
ZNF132	ZNF184
ZNF132	ZNF287
ZNF132	ZNF107
ZNF132	ZNF14
ZNF132	ZNF567
ZNF132	ZNF729
ZNF132	ZNF665
ZNF132	ZNF347
ZNF132	ZNF208
ZNF132	ZNF875
ZNF132	ZNF420
ZNF132	ZNF160
ZNF132	ZNF91
ZNF132	ZNF599
ZNF132	ZNF569
ZNF470	ZNF184
ZNF470	ZNF287
ZNF470	ZNF107
ZNF470	ZNF14
ZNF470	ZNF208
ZNF470	ZNF729
ZNF470	ZNF91
ZNF470	ZNF599
ZNF470	ZNF567
ZNF470	ZNF875
ZNF470	ZNF569
ZNF470	ZNF160
ZNF470	ZNF420
ZNF470	ZNF347
ZNF470	ZNF665
ZNF17	ZNF184
ZNF17	ZNF12
ZNF17	ZNF624
ZNF17	ZNF630
ZNF17	ZNF41
ZNF17	ZNF182
ZNF17	ZNF107
ZNF17	ZNF14
ZNF17	ZNF506
ZNF17	ZNF85
ZNF17	ZNF208
ZNF17	ZNF91
ZNF17	ZNF599
ZNF17	ZNF30
ZNF17	ZNF875
ZNF17	ZNF571
ZNF17	ZNF540
ZNF17	ZNF45
ZNF17	ZNF221
ZNF17	ZNF226
ZNF17	ZNF227
ZNF17	ZNF235
ZNF17	ZNF175
ZNF17	ZNF528
ZNF17	ZNF160
ZNF17	ZNF607
ZNF17	ZNF585A
ZNF17	ZNF836
ZNF17	ZNF43
ZNF17	ZNF568
ZNF17	ZNF347
ZNF17	ZNF729
ZNF17	ZNF616
ZNF17	ZNF429
ZNF17	ZNF726
ZNF17	ZNF841
ZNF17	ZNF420
ZNF17	ZNF569
ZNF17	ZNF665
ZNF17	ZNF573
ZNF17	ZNF615
ZNF17	ZNF780A
ZNF17	ZNF254
ZNF17	ZNF567
ZNF133	ZNF197
ZNF133	ZNF184
ZNF133	ZNF287
ZNF133	ZNF624
ZNF133	ZNF721
ZNF133	ZNF107
ZNF133	ZNF33A
ZNF133	ZNF30
ZNF133	ZNF567
ZNF133	ZNF568
ZNF133	ZNF420
ZNF133	ZNF585A
ZNF133	ZNF569
ZNF133	ZNF571
ZNF133	ZNF540
ZNF133	ZNF607
ZNF133	ZNF573
ZNF133	ZNF780A
ZNF343	ZNF197
ZNF343	ZNF184
ZNF343	ZNF33A
ZNF343	ZNF30
ZNF343	ZNF567
ZNF343	ZNF568
ZNF343	ZNF420
ZNF343	ZNF585A
ZNF343	ZNF569
ZNF343	ZNF571
ZNF343	ZNF607
ZNF343	ZNF573
ZNF343	ZNF780A
KDM4A	RP11-146B14.1
KDM4A	AL513412.1
KDM4B	RP11-146B14.1
KDM4B	AL513412.1
CDKN2C	CDKN2B
CDKN2B	CDKN2D
MFSD14A	MFSD14C
CDC14B	DUSP23
NTNG2	NTNG2
ABHD17AP1	ABHD17B
ABHD17AP1	ABHD17C
PIP5K1B	PIPSL
AQP10	FP325317.1
AQP10	RP11-407P15.2
SHC1	SHC2
SHC3	SHC2
SHC4	SHC2
ZBTB37	ZBTB43
ZBTB37	ZBTB6
ZBTB37	NACC1
ZBTB34	NACC1
NACC1	ZBTB9
CRB1	CRB2
LHX2	ISL1
ZNF141	ZNF92
ZNF141	ZNF479
ZNF721	ZNF337
ZNF721	ZNF92
ZNF721	ZNF727
ZNF721	ZNF479
ZNF721	ZNF716
ZNF721	ZNF679
ZNF479	ZNF70
ZNF716	ZNF70
ZNF727	ZNF70
ZNF679	ZNF70
ZNF107	ZNF12
ZNF107	ZNF337
ZNF107	ZNF33A
ZNF107	ZNF605
ZNF107	ZNF70
ZNF117	ZNF70
ZNF92	ZNF70
PDZD3	AC239803.1
SLC9A3R1	AC239803.1
NAPSA	RP11-295K3.1
PRSS38	TMPRSS5
PRSS38	TMPRSS4
PRSS38	HPN
TMPRSS5	TPSB2
TMPRSS5	PRSS36
TMPRSS5	TPSAB1
TMPRSS4	TMPRSS11F
TMPRSS4	TMPRSS11B
TMPRSS4	TMPRSS11E
TMPRSS4	PRSS21
TMPRSS4	HPN
TMPRSS4	TMPRSS15
TMPRSS4	TMPRSS3
TMPRSS4	TMPRSS2
TMPRSS11B	PRSS27
TMPRSS11B	ACR
TMPRSS11E	TPSAB1
TPSB2	TMPRSS2
PRSS36	PRSS21
PRSS36	TMPRSS6
TPSAB1	TMPRSS2
TMPRSS3	TPSG1
TMPRSS3	PRSS33
MAP3K11	RP5-862P8.2
MAP3K9	RP5-862P8.2
MAP3K10	RP5-862P8.2
ZBTB18	ZBTB3
AL390719.1	PTPN6
VAMP3	RP11-599B13.6
VAMP1	RP11-599B13.6
HMGB4	HMGB1P1
HMGB3	HMGB1P5
PPP1R13B	PPP1R13L
TRIM9	TRIM59
TRIM9	RP11-432B6.3
EGLN1	RAB4B-EGLN2
EGLN1	CTC-490E21.12
EGLN3	RAB4B-EGLN2
EGLN3	CTC-490E21.12
ZNF687	ZNF532
ZNF592	ZNF532
POGZ	ZNF280D
POGZ	ZNF280B
POGZ	ZNF280C
POGZ	ZNF280A
CELF3	RP11-106M3.5
CELF4	RP11-106M3.5
CELF5	RP11-106M3.5
LRRTM2	LRRTM4
LRRTM2	LRRTM1
CELA3B	CTRL
CELA3B	CTRB1
CELA3B	CTRB2
AL590609.1	RPL36
AL355864.1	RPL18A
ZNF658B	ZNF699
ZNF658B	ZNF700
ZNF658B	ZNF433
ZNF658B	ZNF791
ZNF658B	AC008758.1
ZNF658B	ZNF616
ZNF658B	ZNF85
ZNF658B	ZNF528
ZNF658B	ZNF30
ZNF658B	ZNF175
ZNF658B	ZNF43
ZNF658B	ZNF160
ZNF658B	ZNF841
ZNF658B	ZNF347
ZNF658B	ZNF599
ZNF658B	ZNF91
ZNF658B	ZNF836
ZNF658B	ZNF729
ZNF658B	ZNF615
ZNF658B	ZNF14
ZNF658B	ZNF254
ZNF658B	ZNF506
ZNF658B	ZNF665
ZNF658B	ZNF208
ZNF658B	ZNF429
ZNF658B	ZNF443
ZNF658B	ZNF726
ZNF699	PRDM9
ZNF699	ZNF169
ZNF699	ZNF729
ZNF699	ZNF208
ZNF699	ZNF91
ZNF699	ZNF599
ZNF443	ZNF226
ZNF443	ZNF235
ZNF443	ZNF45
ZNF443	ZNF221
ZNF443	ZNF227
ZNF443	ZNF85
ZNF443	ZNF91
ZNF443	ZNF43
ZNF443	ZNF729
ZNF443	ZNF429
ZNF443	ZNF726
ZNF443	ZNF30
ZNF443	ZNF208
ZNF443	ZNF506
ZNF443	ZNF189
ZNF443	ZNF599
ZNF443	ZNF254
ZNF791	PRDM9
ZNF791	ZNF169
ZNF791	ZNF782
ZNF791	ZNF189
ZNF791	ZNF726
ZNF791	ZNF729
ZNF791	ZNF429
ZNF791	ZNF43
ZNF791	ZNF254
ZNF791	ZNF506
ZNF791	ZNF85
ZNF791	ZNF208
ZNF791	ZNF91
ZNF791	ZNF599
ZNF791	ZNF30
ZNF791	ZNF45
ZNF791	ZNF221
ZNF791	ZNF226
ZNF791	ZNF227
ZNF791	ZNF235
ZNF841	ZNF287
ZNF841	ZNF569
ZNF841	ZNF420
ZNF841	ZNF169
ZNF841	ZNF14
ZNF841	ZNF208
ZNF841	ZNF729
ZNF841	ZNF91
ZNF841	ZNF599
ZNF841	ZNF567
ZNF841	ZNF875
ZNF347	ZNF12
ZNF347	ZNF540
ZNF347	ZNF214
ZNF347	ZNF14
ZNF347	ZNF506
ZNF347	ZNF85
ZNF347	ZNF429
ZNF347	ZNF599
ZNF347	ZNF30
ZNF347	ZNF567
ZNF347	ZNF585A
ZNF347	ZNF875
ZNF347	ZNF571
ZNF347	ZNF573
ZNF347	ZNF780A
ZNF347	ZNF568
ZNF347	ZNF43
ZNF347	ZNF726
ZNF347	ZNF254
ZNF347	ZNF607
AC008758.1	PRDM9
AC008758.1	ZNF169
AC008758.1	ZNF782
AC008758.1	ZNF189
AC008758.1	ZNF254
AC008758.1	ZNF726
AC008758.1	ZNF429
AC008758.1	ZNF43
AC008758.1	ZNF506
AC008758.1	ZNF85
AC008758.1	ZNF208
AC008758.1	ZNF729
AC008758.1	ZNF91
AC008758.1	ZNF599
AC008758.1	ZNF30
AC008758.1	ZNF45
AC008758.1	ZNF221
AC008758.1	ZNF226
AC008758.1	ZNF227
AC008758.1	ZNF235
ZNF433	PRDM9
ZNF433	ZNF169
ZNF433	ZNF782
ZNF433	ZNF189
ZNF433	ZNF43
ZNF433	ZNF254
ZNF433	ZNF726
ZNF433	ZNF506
ZNF433	ZNF85
ZNF433	ZNF429
ZNF433	ZNF208
ZNF433	ZNF729
ZNF433	ZNF91
ZNF433	ZNF599
ZNF433	ZNF30
ZNF433	ZNF45
ZNF433	ZNF221
ZNF433	ZNF226
ZNF433	ZNF227
ZNF433	ZNF235
ZNF616	ZNF287
ZNF616	ZNF169
ZNF616	ZNF14
ZNF616	ZNF208
ZNF616	ZNF729
ZNF616	ZNF91
ZNF616	ZNF599
ZNF616	ZNF567
ZNF616	ZNF420
ZNF616	ZNF875
ZNF616	ZNF569
ZNF615	ZNF287
ZNF615	ZNF569
ZNF615	ZNF169
ZNF615	ZNF14
ZNF615	ZNF208
ZNF615	ZNF729
ZNF615	ZNF91
ZNF615	ZNF599
ZNF615	ZNF567
ZNF615	ZNF420
ZNF615	ZNF875
ZNF665	ZNF12
ZNF665	ZNF540
ZNF665	ZNF607
ZNF665	ZNF571
ZNF665	ZNF14
ZNF665	ZNF506
ZNF665	ZNF85
ZNF665	ZNF429
ZNF665	ZNF599
ZNF665	ZNF30
ZNF665	ZNF567
ZNF665	ZNF585A
ZNF665	ZNF875
ZNF665	ZNF573
ZNF665	ZNF254
ZNF665	ZNF568
ZNF665	ZNF726
ZNF665	ZNF43
ZNF665	ZNF780A
ZNF700	PRDM9
ZNF700	ZNF782
ZNF700	ZNF189
ZNF700	ZNF43
ZNF700	ZNF429
ZNF700	ZNF726
ZNF700	ZNF254
ZNF700	ZNF506
ZNF700	ZNF85
ZNF700	ZNF208
ZNF700	ZNF729
ZNF700	ZNF91
ZNF700	ZNF599
ZNF700	ZNF30
ZNF700	ZNF45
ZNF700	ZNF221
ZNF700	ZNF226
ZNF700	ZNF227
ZNF700	ZNF235
ZNF175	ZNF287
ZNF175	ZNF569
ZNF175	ZNF420
ZNF175	ZNF567
ZNF175	ZNF169
ZNF175	ZNF14
ZNF175	ZNF599
ZNF175	ZNF91
ZNF175	ZNF208
ZNF175	ZNF729
ZNF175	ZNF875
ZNF836	ZNF287
ZNF836	ZNF569
ZNF836	ZNF420
ZNF836	ZNF169
ZNF836	ZNF14
ZNF836	ZNF208
ZNF836	ZNF91
ZNF836	ZNF599
ZNF836	ZNF567
ZNF836	ZNF875
ZNF836	ZNF729
ZNF528	ZNF287
ZNF528	ZNF169
ZNF528	ZNF14
ZNF528	ZNF208
ZNF528	ZNF91
ZNF528	ZNF599
ZNF528	ZNF875
ZNF528	ZNF567
ZNF528	ZNF729
ZNF528	ZNF420
ZNF528	ZNF569
ZNF701	ZNF214
ZNF160	ZNF12
ZNF160	ZNF540
ZNF160	ZNF607
ZNF160	ZNF14
ZNF160	ZNF506
ZNF160	ZNF85
ZNF160	ZNF599
ZNF160	ZNF30
ZNF160	ZNF571
ZNF160	ZNF429
ZNF160	ZNF780A
ZNF160	ZNF875
ZNF160	ZNF585A
ZNF160	ZNF567
ZNF160	ZNF43
ZNF160	ZNF573
ZNF160	ZNF726
ZNF160	ZNF568
ZNF160	ZNF254
ZNF12	ZNF569
ZNF12	ZNF420
ZNF12	ZNF567
ZNF12	ZNF875
ZNF287	ZNF197
ZNF287	ZNF33A
ZNF287	ZNF605
ZNF287	ZNF84
ZNF287	ZNF420
ZNF287	ZNF599
ZNF287	ZNF573
ZNF287	ZNF585A
ZNF287	ZNF567
ZNF287	ZNF875
ZNF287	ZNF569
ZNF287	ZNF607
ZNF287	ZNF571
ZNF287	ZNF540
ZNF287	ZNF568
ZNF287	ZNF780A
ZNF287	ZNF30
ZNF287	ZNF337
ZNF287	ZNF182
ZNF287	ZNF630
ZNF287	ZNF41
ZNF624	ZNF84
ZNF624	ZNF875
ZNF624	ZNF599
ZNF624	ZNF567
ZNF624	ZNF569
ZNF624	ZNF420
ZNF624	ZNF337
ZNF337	ZNF197
ZNF337	ZNF184
ZNF337	ZNF33A
ZNF337	ZNF30
ZNF337	ZNF567
ZNF337	ZNF568
ZNF337	ZNF420
ZNF337	ZNF585A
ZNF337	ZNF569
ZNF337	ZNF571
ZNF337	ZNF540
ZNF337	ZNF607
ZNF337	ZNF573
ZNF337	ZNF780A
RAVER2	CTD-2369P2.12
ZBTB7B	ZBTB7A
ARHGEF2	AKAP13
ARHGEF2	CTD-2207O23.3
ARHGEF18	AKAP13
NAXE	NDUFA13
ETV3	ETF1
ST14	CORIN
ZBTB17	ZBTB46
ZBTB46	ZBTB10
ZBTB46	ZBTB8B
ZBTB46	RP1-27O5.3
ZBTB46	ZBTB8A
CEP250	GCC2
HTR4	ADRA1A
DRD1	ADRA1A
HRH2	ADRB3
HRH2	ADRA1A
HRH2	ADRB1
ADRA1A	DRD5
CYP27A1	CYP11B1
CYP27A1	CYP11B2
CYP27C1	CYP11B2
CYP27C1	CYP11B1
CYP27C1	CYP11A1
CYP11B1	CYP24A1
CYP11B1	CYP27B1
CYP11B2	CYP24A1
CYP11B2	CYP27B1
CYP27B1	CYP11A1
CYP24A1	CYP11A1
R3HDM1	RP11-123K3.4
ARPP21	RP11-123K3.4
CXCR4	AGTR1
CXCR4	APLNR
CCR4	AGTR1
CCR4	CMKLR1
CCR4	LPAR4
AGTR1	CX3CR1
AGTR1	CCR9
AGTR1	CMKLR1
AGTR1	FPR3
AGTR1	GPR182
AGTR1	ACKR3
CX3CR1	CMKLR1
APLNR	CMKLR1
CXCR2	LPAR4
CXCR1	GPR15
CXCR1	LPAR4
ACKR3	AGTR2
ACKR3	GPR182
CCR6	AGTR2
ANKRD44	INVS
ALS2	ALS2CL
TCF7L1	TCF12
TCF7L2	TCF12
