TOTAL # GENES:		7822
TOTAL # COUPLES:	9602
ZNF251	ZNF546
ZNF251	ZNF256
ZNF251	ZNF676
ZNF251	ZNF829
ZNF251	ZNF780B
ZNF251	ZNF849P
ZNF16	ZNF425
ZNF16	ZNF239
ZNF16	ZNF485
ZNF16	BX322639.1
ZNF16	ZNF267
ZNF16	ZFP90
ZNF16	ZNF778
ZNF16	ZNF23
ZNF16	ZNF594
ZNF16	ZNF606
ZNF16	ZNF418
ZNF16	ZNF566
ZNF16	ZNF675
ZNF16	ZNF544
ZNF16	ZNF383
ZNF16	ZNF135
ZNF16	ZNF724
ZNF16	ZNF676
ZNF16	ZNF461
ZNF16	ZNF471
ZNF16	ZNF546
ZNF16	ZNF829
ZNF16	ZNF132
ZNF16	ZNF708
ZNF16	ZNF470
ZNF16	ZNF493
ZNF16	ZNF17
ZNF16	ZNF780B
ZNF16	ZNF849P
ZNF16	ZNF133
ZNF16	ZNF343
ZNF485	ZNF141
ZNF485	ZNF721
ZNF485	ZNF479
ZNF485	ZNF716
ZNF485	ZNF727
ZNF485	ZNF679
ZNF485	ZNF107
ZNF485	ZNF117
ZNF485	ZNF92
ZNF519	ZNF479
ZNF519	ZNF716
ZNF519	ZNF727
ZNF519	ZNF679
ZNF519	ZNF107
ZNF519	ZNF117
ZNF519	ZNF92
ZNF519	ZFP90
ZNF519	ZNF676
ZNF519	ZNF383
ZNF519	ZNF829
ZNF519	ZNF724
ZNF519	ZNF675
ZNF519	ZNF849P
ZNF519	ZNF554
ZNF519	ZNF566
ZNF519	ZNF493
ZNF519	ZNF546
ZNF519	ZNF461
ZNF519	ZNF780B
ZNF519	ZNF708
ZNF493	ZNF425
ZNF493	ZNF658B
ZNF493	ZFP90
ZNF493	ZNF23
ZNF493	ZNF778
ZNF493	ZNF554
ZNF493	ZNF699
ZNF493	ZNF443
ZNF493	ZNF791
ZNF493	ZNF841
ZNF493	ZNF418
ZNF493	ZNF347
ZNF493	AC008758.1
ZNF493	ZNF433
ZNF493	ZNF470
ZNF493	ZNF616
ZNF493	ZNF544
ZNF493	ZNF615
ZNF493	ZNF121
ZNF493	ZNF665
ZNF493	ZNF700
ZNF493	ZNF175
ZNF493	ZNF836
ZNF493	ZNF528
ZNF493	ZNF701
ZNF493	ZNF83
ZNF493	ZNF160
ZNF493	ZNF582
ZNF493	ZNF471
ZNF493	ZNF17
ZNF493	ZNF211
ZNF493	ZNF606
ZNF493	ZNF135
ZNF493	ZNF132
ZNF708	ZFP90
ZNF708	ZNF778
ZNF708	ZNF554
ZNF708	ZNF471
ZNF708	ZNF347
ZNF708	ZNF121
ZNF708	ZNF528
ZNF708	ZNF701
ZNF708	ZNF83
ZNF708	ZNF582
ZNF708	ZNF211
AC092634.1	ZNF12
AC092634.1	ZNF23
AC092634.1	ZNF791
AC092634.1	ZNF418
AC092634.1	AC008758.1
AC092634.1	ZNF699
AC092634.1	ZNF471
AC092634.1	ZNF443
AC092634.1	ZNF433
AC092634.1	ZNF17
AC092634.1	ZNF544
AC092634.1	ZNF135
AC092634.1	ZNF700
AC092634.1	ZNF470
AC092634.1	ZNF606
AC092634.1	ZNF132
ZNF829	ZFP90
ZNF829	ZNF778
ZNF829	ZNF471
ZNF829	ZNF347
ZNF829	ZNF528
ZNF829	ZNF701
ZNF829	ZNF83
ZNF829	ZNF582
ZNF829	ZNF211
ZNF546	ZNF12
ZNF546	ZNF425
ZNF546	ZFP90
ZNF546	ZNF23
ZNF546	ZNF778
ZNF546	ZNF287
ZNF546	ZNF624
ZNF546	ZNF836
ZNF546	ZNF616
ZNF546	ZNF665
ZNF546	ZNF471
ZNF546	ZNF418
ZNF546	ZNF347
ZNF546	ZNF544
ZNF546	ZNF470
ZNF546	ZNF615
ZNF546	ZNF841
ZNF546	ZNF175
ZNF546	ZNF528
ZNF546	ZNF701
ZNF546	ZNF160
ZNF546	ZNF582
ZNF546	ZNF17
ZNF546	ZNF211
ZNF546	ZNF606
ZNF546	ZNF135
ZNF546	ZNF132
ZNF546	ZNF337
ZNF546	ZNF133
ZNF546	ZNF343
ZNF676	ZFP90
ZNF676	ZNF778
ZNF676	ZNF554
ZNF676	ZNF121
ZNF676	ZNF347
ZNF676	ZNF471
ZNF676	ZNF528
ZNF676	ZNF701
ZNF676	ZNF83
ZNF676	ZNF582
ZNF676	ZNF211
ZNF676	ZNF256
ZNF554	ZNF849P
ZNF554	ZNF724
ZNF554	ZNF675
ZNF849P	ZFP90
ZNF849P	ZNF701
ZNF849P	ZNF83
ZNF849P	ZNF347
ZNF849P	ZNF582
ZNF849P	ZNF471
ZNF849P	ZNF211
ZNF724	ZFP90
ZNF724	ZNF778
ZNF724	ZNF121
ZNF724	ZNF347
ZNF724	ZNF471
ZNF724	ZNF528
ZNF724	ZNF701
ZNF724	ZNF83
ZNF724	ZNF582
ZNF724	ZNF211
ZNF566	ZFP90
ZNF566	ZNF347
ZNF566	ZNF471
ZNF566	ZNF528
ZNF566	ZNF701
ZNF566	ZNF83
ZNF566	ZNF582
ZNF566	ZNF211
ZNF675	ZFP90
ZNF675	ZNF347
ZNF675	ZNF121
ZNF675	ZNF528
ZNF675	ZNF701
ZNF675	ZNF83
ZNF675	ZNF582
ZNF675	ZNF471
ZNF675	ZNF211
ZNF461	ZFP90
ZNF461	ZNF778
ZNF461	ZNF347
ZNF461	ZNF701
ZNF461	ZNF582
ZNF461	ZNF471
ZNF461	ZNF211
ZNF383	ZFP90
ZNF383	ZNF778
ZNF383	ZNF347
ZNF383	ZNF471
ZNF383	ZNF528
ZNF383	ZNF701
ZNF383	ZNF83
ZNF383	ZNF582
ZNF383	ZNF211
ZNF780B	ZNF12
ZNF780B	ZNF425
ZNF780B	ZFP90
ZNF780B	ZNF23
ZNF780B	ZNF778
ZNF780B	ZNF287
ZNF780B	ZNF624
ZNF780B	ZNF841
ZNF780B	ZNF418
ZNF780B	ZNF665
ZNF780B	ZNF160
ZNF780B	ZNF17
ZNF780B	ZNF470
ZNF780B	ZNF836
ZNF780B	ZNF528
ZNF780B	ZNF132
ZNF780B	ZNF701
ZNF780B	ZNF616
ZNF780B	ZNF615
ZNF780B	ZNF544
ZNF780B	ZNF471
ZNF780B	ZNF135
ZNF780B	ZNF347
ZNF780B	ZNF606
ZNF780B	ZNF175
ZNF780B	ZNF582
ZNF780B	ZNF211
ZNF780B	ZNF343
ZNF780B	ZNF133
ZNF780B	ZNF337
ZNF778	ZNF197
ZNF778	ZNF658B
ZNF778	ZNF23
ZNF778	ZNF267
ZNF778	ZFP90
ZNF778	ZNF85
ZNF778	ZNF569
ZNF778	ZNF91
ZNF778	ZNF573
ZNF778	ZNF429
ZNF778	ZNF30
ZNF778	ZNF585A
ZNF778	ZNF571
ZNF778	ZNF875
ZNF778	ZNF420
ZNF778	ZNF726
ZNF778	ZNF607
ZNF778	ZNF780A
ZNF778	ZNF540
ZNF778	ZNF43
ZNF778	ZNF254
ZNF778	ZNF568
ZNF778	ZNF208
ZNF778	ZNF599
ZNF778	ZNF567
ZNF778	ZNF506
ZNF778	ZNF729
ZNF778	ZNF343
ZNF778	ZNF133
ZNF778	ZNF337
ZFP90	ZSCAN12
ZFP90	ZNF479
ZFP90	ZNF716
ZFP90	ZNF727
ZFP90	ZNF107
ZFP90	ZNF117
ZFP90	ZNF92
ZFP90	ZNF70
CLDN19	CLDN18
CLDN19	CLDN1
CLDN19	CLDN15
CLDN19	CLDN7
CLDN19	CLDN14
CLDN19	CLDN8
CLDN18	CLDN1
CLDN18	CLDN10
CLDN18	CLDN6
CLDN18	CLDN9
CLDN18	CLDN7
CLDN1	CLDN15
CLDN1	CLDN10
CLDN1	CLDN6
CLDN1	CLDN9
CLDN1	CLDN8
CLDN15	CLDN3
CLDN15	CLDN4
CLDN15	CLDN2
CLDN7	CLDN10
CLDN7	CLDN9
CLDN7	CLDN6
CLDN7	CLDN5
CLDN14	CLDN20
CLDN8	CLDN2
CLDN6	CLDN20
CLDN6	CLDN5
CLDN9	CLDN20
CLDN9	CLDN5
P3H1	CRTAP
CRTAP	P3H4
SLC2A1	SLC2A4
ST3GAL3	ST3GAL6
B4GALT2	B4GALT4
B4GALT2	B4GALT5
B4GALT5	B4GALT6
OSBPL9	OSBPL11
CELSR2	CELSR3
CYB561D1	CYB561D2
GNAI3	GNAI2
GNAI3	GNAI1
GNAI2	GNAI1
GNAT2	GNAT1
GNAT1	GNAT3
RAP1A	RAP1BP2
RAP1BP2	RAP1B
MAGI3	MAGI1
MAGI1	MAGI2
LINGO4	LRRN1
LINGO4	LINGO2
LINGO4	LINGO1
LINGO4	LINGO3
LRRN1	LRRN2
LRRN1	LRRN3
LINGO2	LINGO3
LINGO1	LRRTM2
LINGO1	LINGO3
LINGO3	LRRN2
NUP210L	NUP210
PVR	CADM3
PVR	CADM2
NECTIN2	CADM3
NECTIN2	CADM2
NR1I3	NR1I2
NR1I2	VDR
GPA33	IGSF11
GPA33	VSIG2
GPA33	CLMP
GPA33	CXADR
GPA33	VSIG1
IGSF11	VSIG2
IGSF11	CLMP
PRRX1	SHOX2
SHOX2	SHOX
ZNF281	ZNF148
LMOD1	LMOD3
ARL8A	ARL8B
CNTN2	CNTN4
CNTN2	CNTN6
CNTN2	CNTN3
CNTN2	CNTN5
CNTN2	CNTN1
CNTN4	CNTN3
CNTN4	CNTN5
CNTN4	CNTN1
CNTN4	SDK2
CNTN6	CNTN5
CNTN6	CNTN1
CNTN3	CNTN5
CNTN3	CNTN1
CNTN1	SDK1
CNTN1	SDK2
TMCC2	TMCC3
TMCC1	TMCC3
KLHDC8A	KLHDC8B
AVPR1B	OXTR
AVPR1B	AVPR1A
AVPR1B	AVPR2
OXTR	AVPR1A
OXTR	AVPR2
AVPR1A	AVPR2
PLXNA2	PLXND1
PLXNA2	PLXNB1
PLXNA2	PLXNB2
PLXNA2	PLXNB3
PLXND1	PLXNB1
PLXND1	PLXNA4
PLXND1	PLXNA3
PLXNB1	PLXNA1
PLXNB1	PLXNA4
PLXNB1	PLXNA3
PLXNA1	PLXNB3
PLXNA4	PLXNB3
CENPF	GOLGB1
CENPF	EEA1
GOLGB1	GOLGA4
GOLGB1	EEA1
EEA1	GOLGA4
ACOT7	AC098591.1
SLC2A7	SLC2A9
SLC2A9	SLC2A5
HCRTR1	NPFFR2
HCRTR1	HCRTR2
NPFFR2	NPY2R
NPFFR2	NPFFR1
HCRTR2	GPR83
NPY2R	PRLHR
NPY2R	NPFFR1
NPY2R	GPR83
NPY2R	BRS3
ADAM30	ADAM29
ADAM30	ADAM22
ADAM30	ADAM12
ADAM30	ADAM8
ADAM30	ADAM33
ADAM29	ADAM19
ADAM29	ADAM28
ADAM29	ADAM7
ADAM29	ADAM18
ADAM29	ADAM9
ADAM29	ADAM2
ADAM29	ADAM32
ADAM29	ADAM8
ADAM29	ADAM12
ADAM29	ADAM21
ADAM29	ADAM20
ADAM29	ADAM33
ADAM22	ADAM23
ADAM22	ADAM11
ADAM12	ADAM2
ADAM12	ADAM18
ADAM12	ADAM32
ADAM8	ADAM2
ADAM8	ADAM18
ADAM8	ADAM32
ADAM33	ADAM2
ADAM33	ADAM18
ADAM33	ADAM32
ADAM33	ADAM21
ADAM33	ADAM20
ADAM19	ADAM2
ADAM19	ADAM18
ADAM19	ADAM32
ADAM19	ADAM11
ADAM19	ADAM20
ADAM19	ADAM21
ADAM28	ADAM15
ADAM28	ADAM23
ADAM28	ADAM11
ADAM7	ADAM15
ADAM7	ADAM23
ADAM7	ADAM11
ADAM18	ADAM15
ADAM18	ADAM23
ADAM18	ADAM11
ADAM9	ADAM15
ADAM9	ADAM23
ADAM9	ADAM11
ADAM2	ADAM15
ADAM2	ADAM23
ADAM2	ADAM11
ADAM32	ADAM15
ADAM32	ADAM23
ADAM32	ADAM11
NENF	PGRMC2
TLR5	TLR2
TLR5	TLR4
TLR2	TLR6
TLR2	TLR10
TLR2	TLR1
TLR2	TLR7
TLR4	TLR8
TLR7	TLR3
TSSK3	TSSK1B
TSSK3	TSSK6
TSSK1B	TSSK6
GJA4	GJB2
GJA4	GJA3
GJB2	GJB5
GJB2	GJB7
GJB2	GJB4
GJB2	GJB3
GJB2	GJB1
GJA3	GJA9
OXCT2	OXCT1
ELOVL1	ELOVL2
ELOVL2	ELOVL5
PLK3	PLK2
ZSWIM6	ZSWIM4
GPBP1L1	GPBP1
RAB3C	RAB3D
ZFYVE9	ZFYVE16
GPX7	GPX8
SLC1A7	SLC1A6
SLC1A3	SLC1A6
SLC1A1	SLC1A6
SLC1A6	SLC1A4
SSBP3	SSBP4
PLPP3	PLPPR1
PLPPR1	PLPP2
PLPP2	PLPPR5
PRKAA2	PRKAA1
MIER1	MIER2
MIER3	MIER2
IL12RB2	LIFR
IL12RB2	IL31RA
IL12RB2	OSMR
ERBIN	LRRC1
HMGCS2	HMGCS1
HJV	RGMB
HJV	RGMA
POLR3GL	POLR3G
ITGA10	ITGA1
ITGA10	ITGA11
ITGA10	ITGAL
ITGA10	ITGAM
ITGA10	ITGAD
ITGA10	ITGAX
ITGA1	ITGAL
ITGA11	ITGAL
ITGA11	ITGAM
ITGA11	ITGAX
ITGA11	ITGAD
ITGAL	ITGAE
ITGAM	ITGAE
SV2A	SV2C
SV2A	SV2B
SV2C	SV2B
GOLPH3L	GOLPH3
SEMA6C	SEMA5A
SEMA6C	SEMA4D
SEMA6C	SEMA4B
SEMA6A	SEMA4A
SEMA6A	SEMA4C
SEMA6A	SEMA4B
SEMA5A	SEMA3B
SEMA5A	SEMA5B
SEMA5A	SEMA6B
SEMA4D	SEMA4A
SEMA4D	SEMA4F
SEMA4D	SEMA4C
SEMA4D	SEMA4G
SEMA4D	SEMA6D
SEMA4D	SEMA4B
SEMA4D	SEMA6B
SEMA6D	SEMA4A
SEMA4B	SEMA4A
SEMA4B	SEMA7A
SEMA4B	SEMA6B
SEMA6B	SEMA4A
SEMA4A	SEMA7A
SEMA4C	SEMA4F
SEMA4C	SEMA3G
SEMA4C	SEMA3B
SEMA4C	SEMA3F
SEMA4C	SEMA4G
SEMA3B	SEMA4F
SEMA3B	SEMA3E
SEMA3B	SEMA3A
SEMA3B	SEMA3C
SEMA3B	SEMA3D
SEMA5B	SEMA3A
SEMA5B	SEMA3E
SEMA5B	SEMA3D
TNFAIP8L2	TNFAIP8
TNFAIP8L2	TNFAIP8L1
TNFAIP8	TNFAIP8L1
SLC27A3	SLC27A6
SLC27A6	SLC27A2
EFNA3	EFNA5
EFNA3	EFNA2
EFNA5	EFNA1
EFNA5	EFNA2
EFNA2	EFNA1
TRIM46	TRIM55
TRIM46	FSD1L
TRIM46	FSD2
TRIM46	FSD1
TRIM36	TRIM55
TRIM36	FSD2
TRIM36	FSD1
TRIM36	MID1
TRIM36	MID2
TRIM55	TRIM63
TRIM55	MID1
FSD1L	FSD2
FSD1L	FSD1
FSD1L	MID1
FSD2	FSD1
FSD2	MID2
SCAMP3	SCAMP5
SCAMP3	SCAMP2
HCN3	HCN1
RXFP4	RXFP3
PEAR1	MEGF10
PEAR1	MEGF11
MEGF10	MEGF11
SLC26A9	SLC26A2
SLC26A9	SLC26A5
SLC26A9	SLC26A4
SLC26A2	SLC26A4
SLC26A2	SLC26A5
SLC26A2	SLC26A3
SLC26A3	SLC26A1
SLC26A4	SLC26A1
ESRRG	NR3C1
ESRRG	ESR1
ESRRG	ESR2
NR3C1	NR3C2
NR3C1	PGR
NR3C1	ESR2
NR3C1	ESRRB
NR3C1	AR
ESR1	ESRRA
ESR1	PGR
ESR1	ESRRB
ESR1	ESR2
ESRRA	PGR
ESRRA	ESR2
NR3C2	PGR
NR3C2	AR
PGR	AR
ADRA1B	DRD5
ADRA1B	HTR7
HTR7	HTR4
HTR7	ADRA1A
DRD3	DRD2
SRSF10	SRSF12
RCAN3	RCAN2
RCAN3	RCAN1
RCAN2	RCAN1
PAQR7	PAQR8
PAFAH2	PLA2G7
RPS6KA1	RPS6KA3
RPS6KA2	RPS6KA3
RPS6KA3	RPS6KA6
SYTL1	SYTL3
SYTL1	SYTL5
SYTL1	SYTL4
SYTL3	SYTL4
SYTL3	SYTL5
MAP3K6	MAP3K5
MAP3K6	MAP3K15
WASF1	WASF4P
WASF3	WASF4P
FGR	FYN
FGR	FRK
FGR	BLK
FGR	YES1
FGR	HCK
FGR	SRC
FRK	LCK
FRK	YES1
FRK	SRC
FRK	HCK
BLK	LCK
BLK	YES1
BLK	HCK
BLK	SRC
STX12	TSNARE1
STX7	TSNARE1
EYA3	EYA4
EYA3	EYA1
EYA3	EYA2
PHACTR4	PHACTR2
OPRD1	OPRM1
OPRD1	OPRK1
OPRD1	NPBWR1
OPRD1	OPRL1
OPRD1	SSTR4
OPRD1	NPBWR2
OPRD1	MCHR1
OPRM1	NPBWR1
OPRM1	SSTR1
OPRM1	SSTR5
OPRM1	SSTR4
OPRK1	SSTR4
NPBWR1	MCHR2
NPBWR1	NPBWR2
NPBWR1	OPRL1
NPBWR1	SSTR4
OPRL1	SSTR1
OPRL1	SSTR2
SSTR4	MCHR2
SSTR4	SSTR1
NPBWR2	SSTR1
MCHR1	MCHR2
MCHR1	SSTR5
MCHR1	SSTR2
SSTR1	MCHR2
PTPRU	PTPRK
PTPRU	PTPRM
PTPRU	PTPRT
PTPRK	PTPRM
PTPRK	PTPRT
PTPRM	PTPRT
NKAIN1	NKAIN3
NKAIN2	NKAIN3
FABP9	CRABP1
PMP2	CRABP1
GPR83	NPY1R
GPR83	NPY4R
GPR83	BRS3
ADGRB2	ADGRB3
ADGRB2	ADGRB1
ADGRB3	ADGRB1
TXLNA	TXLNG
CCDC28B	CCDC28A
GJB5	GJB7
GJB5	GJB6
GJB5	GJB1
GJB7	GJB4
GJB7	GJB3
GJB7	GJB6
GJB7	GJB1
GJB6	GJB4
GJB6	GJB3
GJB6	GJA9
GJB6	GJB1
GJB1	GJB4
GJB1	GJB3
GJB1	GJA9
COL8A2	COL21A1
COL8A2	COL9A1
COL8A2	COL9A3
COL21A1	COL8A1
COL21A1	COL22A1
COL21A1	COL9A3
COL9A1	COL22A1
COL9A1	COL9A3
COL9A1	COL6A2
COL9A3	COL10A1
COL22A1	COL24A1
COL22A1	COL4A3
COL22A1	COL19A1
TRAPPC3	TRAPPC3L
GRIK3	GRIK5
GRIK2	GRIK4
GRIK2	GRIK5
GRIK5	GRIK1
ZC3H12A	ZC3H12D
ZC3H12A	ZC3H12C
ZC3H12A	ZC3H12B
ZC3H12D	ZC3H12C
ZC3H12D	ZC3H12B
ZC3H12C	ZC3H12B
RSPO1	RSPO3
RSPO1	RSPO2
RSPO3	RSPO2
RSPO2	RSPO4
AKIRIN1	AKIRIN2
MACF1	DST
BMP8A	GDF5
BMP6	GDF3
BMP5	BMP4
BMP5	GDF5
GDF5	GDF7
GDF5	BMP10
GDF5	GDF6
GDF5	BMP4
BMP4	GDF7
BMP4	BMP10
RLF	ZNF292
SMAP2	SMAP1
SCMH1	SCML2
HIVEP3	HIVEP2
HIVEP3	HIVEP1
SLC44A5	SLC44A4
SLC44A4	SLC44A2
DDAH1	DDAH2
COL24A1	COL11A2
BRDT	BRD2
MTF2	PHF1
TBX15	TBX18
TBX15	TBX22
TBX18	TBX22
TBX22	TBX20
H2AC21	H2AC6
H2AC21	H2AX
H2AC6	H2AX
H2AX	H2AC18
H2AX	H2AC20
H2AX	H2AW
H2AX	H2AC1
H2AX	H3C4
H2AX	H2AC11
H2AX	H2AC13
H2AX	H2AC7
ATF6	ATF6B
RXRB	HNF4G
RXRB	HNF4A
RXRA	HNF4G
TBX19	TBXT
RASAL2	RASAL3
SYNGAP1	RASAL3
RNF2	RING1
ATP6V1G3	ATP6V1G2
ATP6V1G2	ATP6V1G1
REN	PGC
PGC	CTSE
