Paralog1	Paralog2
AC136616.3	IGHV4-34
AC136616.3	IGHV2-5
AC136616.3	IGHV2-70D
AC136616.3	IGHV2-70
AC136616.3	IGHV2-26
AC136616.3	IGHV2OR16-5
AC136616.3	IGLL1
AC136616.3	IGLL5
AC136616.3	IGLC1
AC136616.3	IGLC7
AC136616.3	IGLC3
AC136616.3	IGLC2
AC136616.3	IGHE
AC136616.3	IGHM
AC136616.3	TRDC
IGHV1-69	AC233755.1
IGHV1-69	IGLL5
IGHV1-69	IGLL1
IGHV1-69D	AC233755.1
IGHV1-69D	IGLL5
IGHV1-69D	IGLL1
IGHV1-69-2	AC233755.1
IGHV1-69-2	IGLL5
IGHV1-69-2	IGLL1
IGHV1-24	AC233755.1
IGHV1-24	IGLL5
IGHV1-24	IGLL1
IGHV1-46	AC233755.1
IGHV1-46	IGLL5
IGHV1-46	IGLL1
IGHV1OR15-9	AC233755.1
IGHV1OR15-9	IGLL5
IGHV1OR15-9	IGLL1
IGHV1OR21-1	AC233755.1
IGHV1OR21-1	IGLL5
IGHV1OR21-1	IGLL1
IGKC	AC233755.1
IGKC	IGLL5
IGKC	IGLL1
IGHV6-1	AC233755.1
IGHV6-1	IGLL5
IGHV6-1	IGLL1
AC233755.1	IGHV2-5
AC233755.1	IGHV2-70D
AC233755.1	IGHV2-70
AC233755.1	IGHV2-26
AC233755.1	IGHV2OR16-5
AC233755.1	IGLL1
AC233755.1	IGLL5
AC233755.1	IGLC1
AC233755.1	IGLC7
AC233755.1	IGLC3
AC233755.1	IGLC2
AC233755.1	IGHE
AC233755.1	IGHM
AC233755.1	TRDC
IGHV4-28	IGLL5
IGHV4-28	IGLL1
IGHV4-39	IGLL5
IGHV4-39	IGLL1
IGHV4-31	IGLL5
IGHV4-31	IGLL1
IGHV4-61	IGLL5
IGHV4-61	IGLL1
IGHV4-59	IGLL5
IGHV4-59	IGLL1
AC135068.3	IGLL5
AC135068.3	IGLL1
IGHV4OR15-8	IGLL5
IGHV4OR15-8	IGLL1
IGHV4-4	IGLL5
IGHV4-4	IGLL1
IGHV4-34	IGLL5
IGHV4-34	IGLL1
IGHV2-5	IGLL5
IGHV2-5	IGLL1
IGHV2-70D	IGLL5
IGHV2-70D	IGLL1
IGHV2-70	IGLL5
IGHV2-70	IGLL1
IGHV2-26	IGLL5
IGHV2-26	IGLL1
IGHV2OR16-5	IGLL5
IGHV2OR16-5	IGLL1
IGLL1	IGLL5
IGLL1	IGLC7
IGLL1	IGLC3
IGLL1	IGLC2
IGLL1	IGLC1
IGLL1	IGHE
IGLL1	IGHM
IGLL1	TRDC
IGLL5	IGLC3
IGLL5	IGLC2
IGLL5	IGHE
IGLL5	IGHM
IGLL5	TRDC
AC136616.1	SLC6A1
AC136616.1	SLC6A3
AC136616.1	SLC6A15
AC136616.1	SLC6A5
AC136616.1	SLC6A14
AC136616.1	SLC6A17
AC136616.1	SLC6A18
AC136616.1	SLC6A20
AC136616.1	SLC6A9
AC136616.1	SLC6A7
AC136616.1	SLC6A2
AC136616.1	SLC6A4
AC136616.1	SLC6A16
AC136616.1	SLC6A19
AC136616.1	SLC6A12
AC136616.1	SLC6A13
SLC6A1	SLC6A12
SLC6A1	SLC6A13
SLC6A1	SLC6A19
SLC6A1	SLC6A18
SLC6A1	SLC6A3
SLC6A1	SLC6A14
SLC6A1	SLC6A11
SLC6A1	SLC6A15
SLC6A1	SLC6A6
SLC6A1	SLC6A5
SLC6A1	SLC6A8
SLC6A1	SLC6A17
SLC6A1	SLC6A20
SLC6A1	SLC6A9
SLC6A1	SLC6A7
SLC6A1	SLC6A2
SLC6A1	SLC6A4
SLC6A1	SLC6A16
SLC6A3	SLC6A12
SLC6A3	SLC6A13
SLC6A3	SLC6A19
SLC6A3	SLC6A18
SLC6A3	SLC6A15
SLC6A3	SLC6A6
SLC6A3	SLC6A5
SLC6A3	SLC6A14
SLC6A3	SLC6A11
SLC6A3	SLC6A8
SLC6A3	SLC6A17
SLC6A3	SLC6A20
SLC6A3	SLC6A9
SLC6A3	SLC6A7
SLC6A3	SLC6A4
SLC6A3	SLC6A16
SLC6A15	SLC6A12
SLC6A15	SLC6A13
SLC6A15	SLC6A19
SLC6A15	SLC6A18
SLC6A15	SLC6A14
SLC6A15	SLC6A11
SLC6A15	SLC6A8
SLC6A15	SLC6A6
SLC6A15	SLC6A2
SLC6A15	SLC6A5
SLC6A15	SLC6A7
SLC6A15	SLC6A9
SLC6A15	SLC6A4
SLC6A6	SLC6A19
SLC6A6	SLC6A18
SLC6A6	SLC6A14
SLC6A6	SLC6A11
SLC6A6	SLC6A5
SLC6A6	SLC6A17
SLC6A6	SLC6A20
SLC6A6	SLC6A9
SLC6A6	SLC6A7
SLC6A6	SLC6A2
SLC6A6	SLC6A4
SLC6A6	SLC6A16
SLC6A5	SLC6A12
SLC6A5	SLC6A13
SLC6A5	SLC6A19
SLC6A5	SLC6A18
SLC6A5	SLC6A14
SLC6A5	SLC6A11
SLC6A5	SLC6A8
SLC6A5	SLC6A2
SLC6A5	SLC6A17
SLC6A5	SLC6A20
SLC6A5	SLC6A9
SLC6A5	SLC6A7
SLC6A5	SLC6A4
SLC6A5	SLC6A16
SLC6A14	SLC6A12
SLC6A14	SLC6A13
SLC6A14	SLC6A19
SLC6A14	SLC6A18
SLC6A14	SLC6A11
SLC6A14	SLC6A8
SLC6A14	SLC6A17
SLC6A14	SLC6A20
SLC6A14	SLC6A9
SLC6A14	SLC6A7
SLC6A14	SLC6A2
SLC6A14	SLC6A4
SLC6A14	SLC6A16
SLC6A11	SLC6A19
SLC6A11	SLC6A18
SLC6A11	SLC6A17
SLC6A11	SLC6A20
SLC6A11	SLC6A9
SLC6A11	SLC6A7
SLC6A11	SLC6A2
SLC6A11	SLC6A4
SLC6A11	SLC6A16
SLC6A17	SLC6A12
SLC6A17	SLC6A13
SLC6A17	SLC6A19
SLC6A17	SLC6A18
SLC6A17	SLC6A8
SLC6A17	SLC6A2
SLC6A17	SLC6A20
SLC6A17	SLC6A7
SLC6A17	SLC6A9
SLC6A17	SLC6A4
SLC6A18	SLC6A12
SLC6A18	SLC6A13
SLC6A18	SLC6A19
SLC6A18	SLC6A8
SLC6A18	SLC6A20
SLC6A18	SLC6A9
SLC6A18	SLC6A7
SLC6A18	SLC6A2
SLC6A18	SLC6A4
SLC6A18	SLC6A16
SLC6A20	SLC6A12
SLC6A20	SLC6A13
SLC6A20	SLC6A8
SLC6A20	SLC6A2
SLC6A20	SLC6A9
SLC6A20	SLC6A7
SLC6A20	SLC6A4
SLC6A20	SLC6A16
SLC6A9	SLC6A12
SLC6A9	SLC6A13
SLC6A9	SLC6A19
SLC6A9	SLC6A8
SLC6A9	SLC6A2
SLC6A9	SLC6A7
SLC6A9	SLC6A16
SLC6A9	SLC6A4
SLC6A7	SLC6A12
SLC6A7	SLC6A13
SLC6A7	SLC6A19
SLC6A7	SLC6A8
SLC6A7	SLC6A2
SLC6A7	SLC6A4
SLC6A7	SLC6A16
SLC6A2	SLC6A12
SLC6A2	SLC6A13
SLC6A2	SLC6A19
SLC6A2	SLC6A8
SLC6A2	SLC6A4
SLC6A2	SLC6A16
SLC6A4	SLC6A12
SLC6A4	SLC6A13
SLC6A4	SLC6A19
SLC6A4	SLC6A8
SLC6A4	SLC6A16
SLC6A16	SLC6A12
SLC6A16	SLC6A13
SLC6A16	SLC6A19
SLC6A16	SLC6A8
SLC6A19	SLC6A12
SLC6A19	SLC6A13
SLC6A19	SLC6A8
SLC6A12	SLC6A8
SLC6A12	SLC6A13
SLC6A13	SLC6A8
SRY	SOX8
SRY	SOX3
SRY	SOX11
SRY	SOX7
SRY	AC105001.2
SRY	SOX9
SRY	SOX2
SRY	SOX6
SRY	SOX4
SRY	SOX5
SRY	SOX10
SRY	CFAP65
SRY	SOX13
SRY	SOX12
SRY	SOX18
SRY	SOX30
SRY	SOX17
SRY	SOX1
SRY	SOX21
SRY	SOX15
SRY	SOX14
SOX8	SOX21
SOX8	SOX1
SOX8	SOX12
SOX8	SOX7
SOX8	AC105001.2
SOX8	SOX3
SOX8	SOX11
SOX8	SOX2
SOX8	SOX6
SOX8	SOX4
SOX8	SOX5
SOX8	CFAP65
SOX8	SOX13
SOX8	SOX18
SOX8	SOX30
SOX8	SOX17
SOX8	SOX15
SOX8	SOX14
SOX3	SOX21
SOX3	SOX12
SOX3	SOX10
SOX3	SOX7
SOX3	AC105001.2
SOX3	SOX18
SOX3	SOX4
SOX3	SOX17
SOX3	SOX5
SOX3	SOX11
SOX3	SOX9
SOX3	SOX6
SOX3	CFAP65
SOX3	SOX13
SOX3	SOX30
SOX3	SOX15
SOX3	SOX14
SOX11	SOX21
SOX11	SOX1
SOX11	SOX12
SOX11	SOX10
SOX11	SOX7
SOX11	AC105001.2
SOX11	SOX18
SOX11	SOX17
SOX11	SOX5
SOX11	SOX9
SOX11	SOX2
SOX11	SOX6
SOX11	CFAP65
SOX11	SOX13
SOX11	SOX30
SOX11	SOX15
SOX11	SOX14
SOX7	SOX21
SOX7	SOX1
SOX7	SOX12
SOX7	SOX10
SOX7	SOX9
SOX7	SOX2
SOX7	SOX6
SOX7	SOX4
SOX7	SOX5
SOX7	CFAP65
SOX7	SOX13
SOX7	SOX30
SOX7	SOX15
SOX7	SOX14
AC105001.2	SOX21
AC105001.2	SOX1
AC105001.2	SOX12
AC105001.2	SOX10
AC105001.2	SOX9
AC105001.2	SOX2
AC105001.2	SOX6
AC105001.2	SOX4
AC105001.2	SOX5
AC105001.2	CFAP65
AC105001.2	SOX13
AC105001.2	SOX18
AC105001.2	SOX30
AC105001.2	SOX17
AC105001.2	SOX15
AC105001.2	SOX14
SOX9	SOX21
SOX9	SOX1
SOX9	SOX12
SOX9	SOX18
SOX9	SOX4
SOX9	SOX17
SOX9	SOX5
SOX9	SOX6
SOX9	SOX30
SOX9	SOX14
SOX9	SOX2
SOX9	CFAP65
SOX9	SOX13
SOX9	SOX15
SOX2	SOX21
SOX2	SOX12
SOX2	SOX10
SOX2	SOX18
SOX2	SOX4
SOX2	SOX17
SOX2	SOX5
SOX2	SOX6
SOX2	SOX30
SOX2	CFAP65
SOX2	SOX13
SOX2	SOX15
SOX6	SOX21
SOX6	SOX1
SOX6	SOX12
SOX6	SOX10
SOX6	SOX18
SOX6	SOX4
SOX6	SOX17
SOX6	CFAP65
SOX6	SOX30
SOX6	SOX15
SOX6	SOX14
SOX4	SOX21
SOX4	SOX1
SOX4	SOX12
SOX4	SOX10
SOX4	SOX18
SOX4	SOX5
SOX4	CFAP65
SOX4	SOX13
SOX4	SOX30
SOX4	SOX17
SOX4	SOX15
SOX4	SOX14
SOX5	SOX21
SOX5	SOX1
SOX5	SOX12
SOX5	SOX10
SOX5	SOX18
SOX5	SOX17
SOX5	CFAP65
SOX5	SOX30
SOX5	SOX15
SOX5	SOX14
SOX10	SOX21
SOX10	SOX1
SOX10	SOX12
SOX10	CFAP65
SOX10	SOX13
SOX10	SOX18
SOX10	SOX30
SOX10	SOX17
SOX10	SOX15
SOX10	SOX14
CFAP65	SOX21
CFAP65	SOX1
CFAP65	SOX12
CFAP65	SOX18
CFAP65	SOX17
CFAP65	SOX30
CFAP65	SOX14
CFAP65	SOX13
CFAP65	SOX15
SOX13	SOX21
SOX13	SOX1
SOX13	SOX12
SOX13	SOX18
SOX13	SOX17
SOX13	SOX30
SOX13	SOX14
SOX13	SOX15
SOX12	SOX21
SOX12	SOX1
SOX12	SOX18
SOX12	SOX30
SOX12	SOX17
SOX12	SOX15
SOX12	SOX14
SOX18	SOX21
SOX18	SOX1
SOX18	SOX30
SOX18	SOX15
SOX18	SOX14
SOX30	SOX21
SOX30	SOX1
SOX30	SOX17
SOX30	SOX15
SOX30	SOX14
SOX17	SOX21
SOX17	SOX1
SOX17	SOX15
SOX17	SOX14
SOX1	SOX21
SOX1	SOX15
SOX21	SOX15
SOX15	SOX14
RPS4Y2	RPS4X
ZFY	ZNF79
ZFY	ZNF793
ZFY	ZNF551
ZFY	ZNF773
ZFY	ZIK1
ZFY	PRDM15
ZFY	ZNF772
ZFY	ZNF256
ZFY	ZNF154
ZFY	ZNF134
ZFY	ZNF837
ZFY	AC003005.1
ZFY	AC004076.1
ZFY	ZNF419
ZFY	ZNF660
ZFY	ZNF711
ZFY	IKZF5
ZFY	ZNF792
ZFY	E4F1
ZFY	ZNF549
ZFY	ZNF418
ZFY	ZNF570
ZFY	ZNF586
ZFY	ZBTB11
ZFY	ZNF584
ZFY	ZSCAN20
ZFY	ZNF587B
ZFY	ZNF552
ZFY	ZNF562
ZFY	ZNF561
ZFY	ZNF8
ZFY	ZFAT
ZFY	ZSCAN2
ZFY	ZNF304
ZFY	ZNF548
ZFY	AC003002.1
ZFY	ZNF610
ZFY	ZNF480
ZFY	ZNF691
ZFY	ZNF583
ZFX	PRDM15
ZFX	ZNF79
ZFX	ZNF793
ZFX	ZNF551
ZFX	ZNF773
ZFX	ZIK1
ZFX	ZNF772
